source,pop,count/day,geo,test,days
peanutlabs,"6,931,071",234,AZ,ACLU AZ Senate Primary,3.4
peanutlabs,"2,907,289",382,KS,ACLU TEST #2: KANSAS,1.4
peanutlabs,"5,519,952",372,MN,Alliance for a Better Minnesota,3.7
peanutlabs,"5,519,952",714,MN,Alliance for a Better Minnesota Round 2,1.0
peanutlabs,"711,000",105,District,Be A Hero,3.2
peanutlabs,"711,000",113,District,Change Media: MJ Hegar,3.8
peanutlabs,"7,288,000",652,WA,Friends of Maria,2.9
peanutlabs,"7,288,000",448,WA,Lake Research 2,4.3
peanutlabs,"5,519,952",984,MN,MN State House Midterms,0.5
peanutlabs,"20,612,439",2333,FL,NextGen Midterms 9/5,1.3
peanutlabs,"711,000",93,District,Trilogy Interactive - CA 25,4.0
peanutlabs,"711,000",116,District,Trilogy Interactive - FL 26,3.9
peanutlabs,"2,940,058",358,NV,Win Justice Test #1: NV,2.0
peanutlabs,"7,288,000",393,WA,Yes on 1631,6.0
prodege,"2,907,289",187,KS,ACLU TEST #2: KANSAS,2.9
prodege,"5,519,952",166,MN,Alliance for a Better Minnesota Round 2,4.1
prodege,"711,000",89,District,Be A Hero,1.1
prodege,"711,000",39,District,Change Media: MJ Hegar,3.8
prodege,"7,288,000",232,WA,Friends of Maria,2.8
prodege,"7,288,000",162,WA,Lake Research 2,6.9
prodege,"5,519,952",198,MN,MN State House Midterms,3.8
prodege,"5,519,952",491,Districts,Mothership District Test,3.1
prodege,"325,700,000",3988,US,Promethean Round 2,0.3
prodege,"2,940,058",101,NV,SEIU TEST #2: NV,4.7
prodege,"711,000",24,District,Trilogy Interactive - CA 25,4.0
prodege,"711,000",17,District,Trilogy Interactive - FL 26,3.8
prodege,"2,940,058",136,NV,Win Justice Test #1: NV,2.9
prodege,"33,480,797",3097,States,Win Justice Test #2: General,0.8
prodege,"20,612,439",642,FL,Win Justice Test #3: Florida (Gillum vs. Desan...,2.8
prodege,"20,612,439",646,FL,Win Justice Test #4: Florida (Nelson vs Scott),2.7
prodege,"39,250,017",454,CA,Yes on CA Prop 10,5.9
prodege,"39,250,017",440,CA,Yes on CA Prop 10 Round 2,4.8
prodege,"39,250,017",385,CA,Yes on CA Prop 10 Round 3 (65+),0.1
tapresearch,"325,700,000",2697,US,ACLU Test #3: National GOTV,1.1
tapresearch,"325,700,000",5278,US,Fenton ShowUP 2018: Round 2,0.2
tapresearch,"13,509,000",446,Districts,Mothership District Test,3.1
tapresearch,"325,700,000",6065,US,Promethean Round 2,2.9
tapresearch,"325,700,000",3760,US,Promethean Round 3,4.2
tapresearch,"325,700,000",2371,US,Promethean Round 4,2.0
tapresearch,"325,700,000",4152,US,SEIU TEST #1: NATIONAL,0.9
tapresearch,"2,940,058",103,NV,SEIU TEST #2: NV,4.7
tapresearch,"33,480,797",1073,States,Win Justice Test #2: General,0.6
tapresearch,"20,612,439",284,FL,Win Justice Test #3: Florida (Gillum vs. Desan...,2.9
tapresearch,"20,612,439",326,FL,Win Justice Test #4: Florida (Nelson vs Scott),2.8
tapresearch,"39,250,017",891,CA,Yes on CA Prop 10 Round 3,2.0
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
